Year,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Population,Sum of HOSP_LICBED_DAY_TOTL,Sum of ED_TRAFFIC_TOTL,Sum of EMS_NON_EMERG_VIS,Sum of EMS_REGISTERS_NO_TREAT
2018,Orange,2.8,2,56,21,0.1,0.074,36,12,50,27,3175973,2926224,834923,59172,16634
2018,Riverside,2.5,1.5,51,14,0.12,0.1,46,14.2,377,52,2445789,1470326,786333,0,10316
2018,Sacramento,4.1,3.6,58,12,0.1,0.079,50,12.8,252,29,1538746,1264919,600207,18571,8104
2018,San Bernardino,2.7,1.3,71,30,0.14,0.111,41,17.6,142,35,2166753,2185160,801475,52390,33155
2018,San Diego,1.8,1.3,48,15,0.1,0.08,29,13,54,26,3333861,2780921,913537,25412,21600
2018,San Francisco,1.7,1.6,59,11,0.05,0.048,81,11.7,35,19,880696,1665659,312793,14883,4613
2018,San Joaquin,3,2.4,58,12,0.09,0.075,97,17.6,212,30,752491,453695,286265,3012,9048
2018,Santa Barbara,2.3,0.8,23,6,0.08,0.063,20,8.6,103,25,445780,370845,153745,17738,4629
2018,Santa Clara,2.7,2.2,59,17,0.08,0.065,73,12.9,111,22,1932337,1484455,519979,24077,16528
2018,Sonoma,1.4,1.2,41,4,0.07,0.055,65,8.3,205,18,498643,694881,146530,101,4134
2018,Stanislaus,2.5,1.9,47,10,0.1,0.084,100,17.2,184,36,548126,569964,288389,28132,6692
2018,Sutter,6.6,2.6,41,7,0.1,0.08,37,10.3,245,31,96348,16790,0,0,0
2019,Contra Costa,1.7,0.9,34,7,0.09,0.069,17,7.8,53,15,1153526,658095,367047,2041,6889
2019,Fresno,1.8,1.4,63,20,0.1,0.08,37,11.7,234,39,999101,1307440,407802,358,11250
2019,Humboldt,1.1,0.8,17,2,0.05,0.046,18,6.8,44,15,135558,109135,57190,338,2925
2019,Imperial,4.3,3.1,49,9,0.11,0.08,27,10.8,162,44,181215,97820,85517,23040,326
2019,Kern,1.2,0.8,56,21,0.1,0.084,47,13,382,54,900202,691934,335050,923,8298
2019,Los Angeles,3.8,2.9,78,23,0.12,0.101,30,13.4,159,29,10039107,9708136,3286381,156578,87066
2019,Marin,1.3,0.8,40,8,0.08,0.059,14,6.4,30,13,258826,167170,71711,0,1094
2019,Monterey,4.5,0.8,26,4,0.07,0.058,13,5.7,76,19,434061,292001,163584,12466,2269
2019,Napa,1.2,0.8,29,5,0.08,0.06,14,5.9,29,13,137744,648605,32487,7493,653
2019,Orange,2.5,1.5,50,19,0.1,0.082,24,9.4,105,24,3175692,2917549,850150,74021,16707
2019,Riverside,1.8,1.2,53,14,0.13,0.096,36,12.7,243,47,2470546,1484518,825754,0,12473
2019,Sacramento,1.7,1.3,55,12,0.1,0.071,30,8.4,90,22,1552058,1270437,591384,19727,13999
2019,San Bernardino,2.2,1.1,74,29,0.14,0.106,36,15.5,165,35,2180085,2185620,823066,65710,38644
2019,San Diego,3.5,1.7,47,14,0.1,0.076,27,13.7,153,32,3338330,2845648,861079,26238,20001
2019,San Francisco,1.2,0.9,46,10,0.09,0.053,18,7.7,34,14,881549,1556249,253734,0,7815
2019,San Joaquin,2.2,1.3,58,12,0.09,0.069,34,9.4,116,24,762148,454675,299548,13002,8517
2019,Santa Barbara,2.3,0.6,26,5,0.08,0.068,16,6.8,87,22,446499,397485,159563,10102,3360
2019,Santa Clara,2,1.5,52,14,0.09,0.064,25,9.1,53,18,1927852,1350425,455251,83332,17594
2019,Stanislaus,1.7,1.2,44,9,0.09,0.079,36,10.6,104,30,550660,576700,288286,11694,9025
